 Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5;
5;0.03;4382619.49;438261948.78;429496709.80;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.49;0.00;0.00;0.00;
9;0.59;0.00;0.00;0.00;
10;0.88;0.00;0.00;0.00;
11;2.59;0.01;1.28;2.00;
12;3.28;0.03;2.82;5.00;
13;6.55;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.06;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;1.09;0.02;1.62;15.00;
9;0.98;0.02;1.82;25.00;
10;1.20;0.01;1.26;25.00;
11;1.80;0.02;2.34;65.00;
12;3.49;0.01;0.80;30.00;
13;5.43;0.01;1.10;55.00;
17;13.14;0.04;3.90;3.00;
34;124.00;0.05;5.33;68.60;
65;815.60;0.10;10.26;188.60;
100;1114.30;1.15;114.87;41619.20;
171;18115.80;0.19;18.80;518.00;
14;5.68;0.03;2.65;88.00;
29;34.42;0.38;38.20;615.00;
100;3096.82;0.54;53.52;11390.00;
137;5825.77;0.91;90.52;63230.20;
150;6536.61;0.96;95.52;24960.00;
200;35705.81;0.20;19.54;5750.60;
Parowanie = 0.25; Alfa = 1; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.22;0.00;0.00;0.00;
8;0.27;0.00;0.00;0.00;
9;0.30;0.00;0.00;0.00;
10;0.56;0.00;0.00;0.00;
11;1.95;0.01;1.28;2.00;
12;1.74;0.03;2.82;5.00;
13;2.69;0.01;0.57;1.00;
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.10;0.00;0.00;0.00;
8;0.72;0.01;1.08;10.00;
9;0.12;0.00;0.00;0.00;
10;1.84;0.01;1.26;25.00;
11;2.44;0.01;0.90;25.00;
12;3.16;0.01;1.46;55.00;
13;4.24;0.01;0.90;45.00;
17;8.98;0.06;6.49;5.00;
34;109.54;0.00;0.00;0.00;
65;859.13;0.09;9.07;166.80;
100;2544.45;0.35;35.10;12717.40;
171;15614.33;0.19;18.58;512.00;
14;5.05;0.06;5.51;183.00;
29;51.64;0.09;9.13;147.00;
100;3417.49;0.11;10.72;2281.60;
137;6261.16;0.32;32.20;22494.80;
150;9729.96;0.24;24.20;6322.40;
200;31144.20;0.14;13.76;4049.80;
Parowanie = 0.25; Alfa = 1; Beta = 5; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.10;0.00;0.00;0.00;
9;0.27;0.00;0.00;0.00;
10;0.13;0.00;0.00;0.00;
11;1.42;0.01;1.28;2.00;
12;1.21;0.00;0.00;0.00;
13;1.08;0.00;0.00;0.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.31;0.00;0.00;0.00;
9;0.17;0.00;0.00;0.00;
10;1.69;0.01;0.76;15.00;
11;4.07;0.01;0.54;15.00;
12;2.92;0.01;0.66;25.00;
13;3.18;0.01;1.00;50.00;
17;5.30;0.22;22.08;17.00;
34;55.49;0.00;0.00;0.00;
65;675.70;0.08;7.83;144.00;
100;2467.46;0.17;17.37;6292.40;
171;14274.91;0.21;20.54;565.80;
14;4.28;0.03;2.65;88.00;
29;27.58;0.08;7.52;121.00;
100;2389.57;0.13;12.72;2707.80;
137;6036.22;0.17;16.73;11683.00;
150;11878.06;0.13;13.10;3423.80;
200;23248.67;0.14;14.02;4128.40;
Parowanie = 0.25; Alfa = 3; Beta = 2; Stala = 5; 
5;0.02;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.32;0.00;0.00;0.00;
9;0.43;0.00;0.00;0.00;
10;0.34;0.00;0.00;0.00;
11;2.07;0.01;1.28;2.00;
12;1.21;0.00;0.00;0.00;
13;3.18;0.02;1.72;3.00;
5;0.03;0.00;0.00;0.00;
6;0.18;0.00;0.00;0.00;
7;0.19;0.00;0.00;0.00;
8;0.61;0.01;1.08;10.00;
9;1.31;0.01;0.73;10.00;
10;1.82;0.02;1.51;30.00;
11;1.38;0.02;1.62;45.00;
12;3.46;0.01;0.80;30.00;
