Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.59;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.91;0.01;1.28;2.00;
12;2.61;0.00;0.00;0.00;
13;4.48;0.02;1.72;3.00;
5;0.07;0.00;0.00;0.00;
6;0.28;0.00;0.00;0.00;
7;0.18;0.00;0.00;0.00;
8;0.85;0.02;1.62;15.00;
9;0.90;0.01;1.45;20.00;
10;1.20;0.01;0.76;15.00;
11;2.43;0.02;1.80;50.00;
12;1.69;0.01;0.80;30.00;
13;2.71;0.01;1.30;65.00;
17;2.62;0.00;0.00;0.00;
34;83.43;0.03;3.34;43.00;
65;316.88;0.15;15.39;283.00;
100;1667.89;0.18;18.32;6636.00;
171;10110.61;0.18;18.37;506.20;
14;4.42;0.02;1.90;63.00;
29;42.44;0.09;8.82;142.00;
100;1188.35;0.15;15.47;3291.80;
137;5423.63;0.15;14.78;10321.80;
150;6235.81;0.18;17.64;4610.00;
200;11779.14;0.21;20.57;6056.40;
Parowanie = 0.25; Alfa = 1; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.08;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.34;0.00;0.00;0.00;
11;2.10;0.01;1.28;2.00;
12;1.59;0.00;0.00;0.00;
13;2.79;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.37;0.00;0.00;0.00;
8;0.51;0.00;0.00;0.00;
9;0.84;0.01;1.45;20.00;
10;2.72;0.01;0.76;15.00;
11;3.31;0.01;1.08;30.00;
12;4.23;0.01;0.93;35.00;
13;4.86;0.01;0.90;45.00;
17;16.27;0.13;12.99;10.00;
34;83.58;0.01;1.00;12.80;
65;457.70;0.10;9.97;183.40;
100;1755.24;0.13;12.96;4697.00;
171;6220.91;0.20;20.28;558.80;
14;4.16;0.07;6.83;227.00;
29;31.11;0.08;7.95;128.00;
100;1249.21;0.10;10.06;2141.40;
137;4674.47;0.09;9.33;6514.40;
150;4019.10;0.14;13.78;3602.00;
200;10881.87;0.16;15.90;4680.40;
Parowanie = 0.25; Alfa = 1; Beta = 5; Stala = 5; 
5;0.20;0.03;3.06;3.00;
6;0.18;0.00;0.00;0.00;
7;0.05;0.00;0.00;0.00;
8;0.21;0.00;0.00;0.00;
9;0.27;0.00;0.00;0.00;
10;1.08;0.00;0.47;1.00;
11;1.52;0.01;1.28;2.00;
12;0.53;0.00;0.00;0.00;
13;2.19;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.44;0.02;1.72;10.00;
8;0.50;0.00;0.00;0.00;
9;0.83;0.02;1.82;25.00;
10;1.69;0.01;0.50;10.00;
11;2.34;0.01;0.90;25.00;
12;2.90;0.01;0.66;25.00;
13;3.18;0.01;0.80;40.00;
17;10.07;0.06;6.49;5.00;
34;45.81;0.05;4.99;64.20;
65;320.47;0.10;10.04;184.60;
100;1456.33;0.12;12.06;4368.20;
171;6810.49;0.21;20.84;574.20;
14;7.89;0.05;5.00;166.00;
29;47.44;0.05;5.40;87.00;
100;1233.88;0.11;10.53;2241.60;
137;3066.12;0.08;8.46;5912.60;
