Parowanie = 0.25; Alfa = 1; Beta = 2; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.13;0.00;0.00;0.00;
8;0.07;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;2.56;0.01;1.28;2.00;
12;1.11;0.00;0.00;0.00;
13;4.81;0.02;1.72;3.00;
5;0.02;0.00;0.00;0.00;
6;0.07;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.26;0.00;0.00;0.00;
9;0.96;0.02;1.82;25.00;
10;1.23;0.01;1.26;25.00;
11;1.91;0.01;1.08;30.00;
12;3.41;0.01;0.53;20.00;
13;2.11;0.01;1.30;65.00;
17;5.78;0.09;9.09;7.00;
34;161.10;0.04;3.97;51.00;
65;412.39;0.10;9.80;180.20;
100;2854.49;0.13;13.41;4858.20;
171;11637.45;0.21;20.74;571.40;
14;5.51;0.03;2.65;88.00;
29;53.11;0.03;2.80;45.00;
100;2635.18;0.11;10.77;2293.00;
137;6900.23;0.11;11.07;7735.40;
150;10783.25;0.11;11.22;2932.00;
200;21484.35;0.14;14.02;4128.40;
Parowanie = 0.25; Alfa = 1; Beta = 3; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.13;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.37;0.00;0.00;0.00;
9;0.23;0.00;0.00;0.00;
10;0.24;0.00;0.00;0.00;
11;1.68;0.02;1.92;3.00;
12;0.36;0.00;0.00;0.00;
13;2.18;0.01;0.57;1.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.11;0.00;0.00;0.00;
8;0.51;0.00;0.00;0.00;
9;0.10;0.00;0.00;0.00;
10;3.04;0.01;0.50;10.00;
11;2.15;0.01;0.90;25.00;
12;4.28;0.01;0.80;30.00;
13;5.73;0.01;0.70;35.00;
17;10.15;0.06;6.49;5.00;
34;51.89;0.09;9.18;118.00;
65;635.84;0.07;7.34;135.00;
100;3328.64;0.12;11.93;4321.40;
171;10506.28;0.19;19.00;523.40;
14;3.62;0.03;2.65;88.00;
29;50.82;0.04;3.85;62.00;
100;2014.84;0.11;10.77;2292.20;
137;6934.98;0.09;9.27;6475.20;
150;9305.15;0.11;10.83;2828.60;
200;20248.37;0.13;13.23;3893.40;
Parowanie = 0.25; Alfa = 1; Beta = 5; Stala = 5; 
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.22;0.00;0.00;0.00;
9;0.27;0.00;0.00;0.00;
10;0.12;0.00;0.00;0.00;
11;1.56;0.01;1.28;2.00;
12;0.91;0.00;0.00;0.00;
13;3.88;0.01;1.15;2.00;
5;0.03;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.14;0.00;0.00;0.00;
8;0.20;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;1.74;0.01;0.50;10.00;
11;2.38;0.01;0.90;25.00;
12;2.93;0.00;0.40;15.00;
13;3.15;0.01;0.70;35.00;
17;6.89;0.06;6.49;5.00;
34;36.74;0.09;8.79;113.00;
65;694.00;0.09;9.14;168.00;
100;2221.91;0.13;12.61;4566.80;
171;7696.83;0.20;20.33;560.20;
14;2.94;0.03;2.65;88.00;
29;39.17;0.05;4.70;75.60;
100;2099.87;0.10;10.17;2163.80;
137;4437.87;0.09;9.14;6385.00;
150;9040.48;0.09;9.17;2395.40;
200;15036.64;0.12;12.50;3678.40;
Parowanie = 0.25; Alfa = 3; Beta = 2; Stala = 5; 
5;0.05;0.00;0.00;0.00;
6;0.04;0.00;0.00;0.00;
7;0.06;0.00;0.00;0.00;
8;0.14;0.00;0.00;0.00;
9;0.18;0.00;0.00;0.00;
10;0.23;0.00;0.00;0.00;
11;1.57;0.04;4.49;7.00;
12;2.47;0.01;1.13;2.00;
13;2.82;0.03;3.45;6.00;
5;0.02;0.00;0.00;0.00;
6;0.45;0.03;2.82;10.00;
7;0.05;0.00;0.00;0.00;
8;0.44;0.00;0.00;0.00;
9;1.51;0.01;0.73;10.00;
10;1.73;0.01;0.76;15.00;
11;2.08;0.01;0.90;25.00;
12;5.32;0.01;0.66;25.00;
13;4.89;0.01;0.70;35.00;
17;5.40;0.09;9.09;7.00;
34;27.88;0.00;0.00;0.00;
65;314.57;0.14;13.79;253.60;
100;1611.67;0.13;12.83;4647.00;
171;5412.99;0.22;21.60;595.20;
14;4.76;0.03;2.65;88.00;
29;34.22;0.05;5.03;81.00;
100;1649.51;0.12;11.69;2488.40;
137;4000.37;0.11;10.51;7341.40;
